x,y,z
6363469.8951308,2069296.7045841,1.70141e+38
6364469.8951308,2069296.7045841,1.70141e+38
6365469.8951308,2069296.7045841,1.70141e+38
6366469.8951308,2069296.7045841,1.70141e+38
6367469.8951308,2069296.7045841,1.70141e+38
6368469.8951308,2069296.7045841,1.70141e+38
6369469.8951308,2069296.7045841,1.70141e+38
6370469.8951308,2069296.7045841,1.70141e+38
6371469.8951308,2069296.7045841,1.70141e+38
6372469.8951308,2069296.7045841,1.70141e+38
6373469.8951308,2069296.7045841,1.70141e+38
6374469.8951308,2069296.7045841,1.70141e+38
6375469.8951308,2069296.7045841,1.70141e+38
6376469.8951308,2069296.7045841,1.70141e+38
6377469.8951308,2069296.7045841,1.70141e+38
6378469.8951308,2069296.7045841,1.70141e+38
6379469.8951308,2069296.7045841,1.70141e+38
6380469.8951308,2069296.7045841,1.70141e+38
6381469.8951308,2069296.7045841,1.70141e+38
6382469.8951308,2069296.7045841,1.70141e+38
6383469.8951308,2069296.7045841,1.70141e+38
6384469.8951308,2069296.7045841,1.70141e+38
6385469.8951308,2069296.7045841,1.70141e+38
6386469.8951308,2069296.7045841,1.70141e+38
6387469.8951308,2069296.7045841,1.70141e+38
6388469.8951308,2069296.7045841,1.70141e+38
6389469.8951308,2069296.7045841,1.70141e+38
6390469.8951308,2069296.7045841,1.70141e+38
6391469.8951308,2069296.7045841,1.70141e+38
6392469.8951308,2069296.7045841,1.70141e+38
6393469.8951308,2069296.7045841,1.70141e+38
6394469.8951308,2069296.7045841,1.70141e+38
6395469.8951308,2069296.7045841,1.70141e+38
6396469.8951308,2069296.7045841,1.70141e+38
6397469.8951308,2069296.7045841,1.70141e+38
6398469.8951308,2069296.7045841,1.70141e+38
6399469.8951308,2069296.7045841,1.70141e+38
6400469.8951308,2069296.7045841,1.70141e+38
6401469.8951308,2069296.7045841,1.70141e+38
6402469.8951308,2069296.7045841,1.70141e+38
6403469.8951308,2069296.7045841,1.70141e+38
6404469.8951308,2069296.7045841,1.70141e+38
6405469.8951308,2069296.7045841,1.70141e+38
6406469.8951308,2069296.7045841,1.70141e+38
6407469.8951308,2069296.7045841,1.70141e+38
6408469.8951308,2069296.7045841,1.70141e+38
6409469.8951308,2069296.7045841,1.70141e+38
6410469.8951308,2069296.7045841,1.70141e+38
6411469.8951308,2069296.7045841,1.70141e+38
6412469.8951308,2069296.7045841,1.70141e+38
6413469.8951308,2069296.7045841,1.70141e+38
